IcdCode,Complete_RD,Unique_RD
A00.0,ja,ja
A00.1,ja,ja
A00.9,ja,ja
A01.1,ja,ja
A01.4,ja,ja
A02.8,ja,ja
A03.0,ja,ja
A03.9,ja,ja
A05.1,ja,nein
A06.0,ja,ja
A06.1,ja,ja
A06.2,ja,ja
A06.4+,ja,ja
A06.5+,ja,ja
A06.6+,ja,ja
A06.7,ja,ja
A06.9,ja,ja
A15.1,ja,ja
A15.2,ja,ja
A15.3,ja,ja
A19.2,ja,ja
A20.0,ja,ja
A20.1,ja,ja
A20.2,ja,ja
A20.3+,ja,ja
A20.7,ja,ja
A20.8,ja,ja
A20.9,ja,ja
A21.0,ja,ja
A21.1,ja,ja
A21.1+,ja,ja
A21.2,ja,ja
A21.2+,ja,ja
A21.3,ja,ja
A21.7,ja,ja
A21.8,ja,ja
A22.1,ja,ja
A22.1+,ja,ja
A23.2,ja,ja
A23.3,ja,ja
A23.8,ja,ja
A23.9+,ja,ja
A24.1,ja,ja
A24.1+,ja,ja
A24.2,ja,ja
A24.4,ja,ja
A27.0,ja,ja
A27.9,ja,ja
A27.9+,ja,ja
A30.8,ja,ja
A32.0,ja,ja
A32.7,ja,ja
A32.8+,ja,ja
A32.9,ja,ja
A36.1,ja,ja
A37.0,ja,ja
A37.8,ja,ja
A42.0,ja,ja
A42.1,ja,ja
A42.2,ja,ja
A42.7,ja,ja
A42.8,ja,ja
A43.0,ja,ja
A43.1,ja,ja
A48.3,ja,ja
A80.0,ja,ja
A80.1,ja,ja
A80.2,ja,ja
A82.0,ja,ja
A82.1,ja,ja
A83.1,ja,ja
A83.2,ja,ja
A92.0,ja,ja
A92.4,ja,ja
A95.0,ja,ja
A95.1,ja,ja
A96.2,ja,ja
A97.0,ja,ja
A97.1,ja,ja
A97.2,ja,ja
A98.1,ja,ja
A98.3,ja,ja
A98.4,ja,ja
B17.0,ja,ja
B21,ja,ja
B38.3+,ja,ja
B38.8+,ja,ja
B39.38,ja,ja
B41.0+,ja,ja
B41.78,ja,ja
B41.8,ja,ja
B42.78,ja,ja
B42.8+,ja,ja
B46.0+,ja,ja
B46.1+,ja,ja
B46.2+,ja,ja
B46.3+,ja,ja
B46.48,ja,ja
B46.5,ja,ja
B46.8,ja,ja
B47.0,ja,ja
B47.1,ja,ja
B47.9,ja,ja
B47.9+,ja,ja
B55.1,ja,ja
B55.1+,ja,ja
B55.2,ja,ja
B55.9,ja,ja
B55.9+,ja,ja
B56.0,ja,ja
B56.1,ja,ja
B56.9+,ja,ja
B57.0+,ja,ja
B57.1,ja,ja
B57.2+,ja,ja
B57.3+,ja,ja
B57.4+,ja,ja
B60.1,ja,ja
B66.9,ja,ja
B67.0,ja,ja
B67.0+,ja,ja
B67.1+,ja,ja
B67.3+,ja,ja
B67.4,ja,ja
B67.5,ja,ja
B67.5+,ja,ja
B67.7,ja,ja
B73,ja,ja
B74.0,ja,ja
B74.3,ja,ja
B74.8,ja,ja
B78.1+,ja,ja
B78.7,ja,ja
B78.9,ja,ja
B83.0,ja,ja
B87.0,ja,nein
C22.2,ja,ja
C25.8,ja,ja
C40.8,ja,nein
C43.8,ja,ja
C45.0,ja,ja
C46.1,ja,ja
C46.2,ja,ja
C46.3,ja,ja
C46.7,ja,ja
C46.8,ja,ja
C72.8,ja,ja
C82.3,ja,ja
C82.4,ja,ja
C82.5,ja,ja
C82.6,ja,nein
C82.7,ja,ja
C84.5,ja,nein
C84.7,ja,ja
C86.1,ja,ja
C86.3,ja,ja
C91.40,ja,nein
C92.01,ja,ja
C92.80,ja,ja
C93.30,ja,ja
C93.31,ja,ja
C94.70,ja,nein
C96.9+,ja,ja
D12.1,ja,ja
D32.1,ja,nein
D42.1,ja,ja
D46.2,ja,nein
D46.4,ja,ja
D46.7,ja,nein
D47.2+,ja,nein
D47.5,ja,nein
D51.2,ja,ja
D56.0,ja,nein
D56.2,ja,ja
D61.3,ja,ja
D68.01,ja,ja
D69.53,ja,ja
D76.2,ja,ja
D81.3,ja,ja
D81.4,ja,ja
D81.5,ja,ja
D81.7,ja,ja
D82.0,ja,ja
D82.8,ja,nein
D83.8,ja,ja
D86.1,ja,ja
D86.2,ja,ja
D89.8,ja,nein
E03.1+,ja,ja
E03.8,ja,ja
E07.1+,ja,ja
E10.40,ja,nein
E11.21+,ja,ja
E11.31+,ja,ja
E11.41+,ja,ja
E11.51,ja,ja
E11.81,ja,ja
E13.60,ja,ja
E13.72,ja,nein
E22.0+,ja,ja
E26.0+,ja,ja
E27.2,ja,ja
E34.50,ja,ja
E51.8+,ja,ja
E66.29+,ja,ja
E70.0,ja,ja
E71.1+,ja,ja
E74.8+,ja,nein
E77.8,ja,nein
E78.88+,ja,ja
E79.1,ja,ja
E79.9,ja,nein
E83.50,ja,ja
E83.8,ja,nein
E84.0,ja,ja
E84.1,ja,ja
E84.1+,ja,ja
E84.80,ja,ja
E84.87,ja,ja
E84.88+,ja,ja
E84.9,ja,ja
E84.9+,ja,ja
E88.0+,ja,ja
E88.8+,ja,nein
F80.3,ja,ja
F84.2,ja,nein
G00.1,ja,ja
G11.1+,ja,ja
G11.8,ja,nein
G12.8+,ja,ja
G14,ja,ja
G20.91,ja,ja
G21.8+,ja,ja
G31.81+,ja,ja
G37.8+,ja,ja
G51.2,ja,ja
G54.8,ja,nein
G71.3,ja,nein
G83.5,ja,ja
G90.79,ja,ja
H35.1,ja,ja
H35.5+,ja,ja
H35.8+,ja,ja
H90.5+,ja,ja
H95.8,ja,ja
I00,ja,ja
I00+,ja,ja
I01.0,ja,ja
I01.2,ja,ja
I01.8,ja,ja
I01.9,ja,ja
I27.20,ja,ja
I42.0,ja,nein
I67.5,ja,nein
J84.90+,ja,ja
K00.5+,ja,ja
K03.5,ja,ja
K07.8,ja,ja
K13.5,ja,ja
K52.38,ja,ja
K62.7,ja,ja
K83.00,ja,nein
K83.01,ja,nein
K86.10,ja,nein
K86.83+,ja,ja
L10.1,ja,ja
L10.2,ja,nein
L10.4,ja,ja
L10.8,ja,ja
L12.1,ja,ja
L12.1+,ja,ja
L12.3,ja,ja
L13.1,ja,ja
L44.0,ja,ja
L57.1,ja,ja
L60.5,ja,ja
L63.0,ja,ja
L63.1,ja,ja
L68.9,ja,ja
L72.2,ja,nein
L88,ja,nein
L90.1,ja,ja
L90.2,ja,ja
L92.1,ja,ja
L93.1,ja,ja
L93.2,ja,nein
L94.8,ja,nein
L98.3,ja,ja
M02.30,ja,ja
M02.31,ja,ja
M02.32,ja,ja
M02.33,ja,ja
M02.34,ja,ja
M02.35,ja,ja
M02.36,ja,ja
M02.37,ja,ja
M02.38,ja,ja
M05.01,ja,ja
M05.02,ja,ja
M05.03,ja,ja
M05.04,ja,ja
M05.05,ja,ja
M05.06,ja,ja
M05.07,ja,ja
M05.08,ja,ja
M06.10,ja,ja
M06.11,ja,ja
M06.12,ja,ja
M06.13,ja,ja
M06.14,ja,ja
M06.15,ja,ja
M06.16,ja,ja
M06.17,ja,ja
M06.18,ja,ja
M06.89,ja,ja
M08.89,ja,nein
M08.90,ja,ja
M12.80,ja,ja
M25.94,ja,ja
M31.8,ja,ja
M32.0,ja,ja
M32.8,ja,ja
M34.1,ja,ja
M35.4,ja,ja
M35.6,ja,ja
M35.8+,ja,nein
M72.40,ja,ja
M72.41,ja,ja
M72.42,ja,ja
M72.43,ja,ja
M72.44,ja,ja
M72.45,ja,ja
M72.46,ja,ja
M72.47,ja,ja
M72.48,ja,ja
M72.49,ja,ja
M72.80,ja,ja
M85.00,ja,ja
M85.01,ja,ja
M85.02,ja,ja
M85.03,ja,ja
M85.04,ja,ja
M85.05,ja,ja
M85.06,ja,ja
M85.07,ja,ja
M85.08,ja,ja
M85.31,ja,ja
M85.42,ja,ja
M85.43,ja,ja
M85.44,ja,ja
M85.45,ja,ja
M85.46,ja,ja
M85.47,ja,ja
M85.49,ja,ja
M85.59,ja,ja
M85.81,ja,ja
M86.30,ja,ja
M86.39,ja,nein
M87.10,ja,nein
M87.11,ja,ja
M87.12,ja,ja
M87.13,ja,ja
M87.14,ja,ja
M87.15,ja,nein
M87.16,ja,ja
M87.17,ja,ja
M87.18,ja,ja
M87.19,ja,nein
M87.20,ja,ja
M87.21,ja,ja
M87.22,ja,ja
M87.23,ja,ja
M87.24,ja,ja
M87.25,ja,ja
M87.26,ja,ja
M87.27,ja,ja
M87.35,ja,ja
M87.85,ja,ja
M89.48,ja,ja
M89.50,ja,nein
M89.54,ja,ja
M89.58,ja,ja
M91.1,ja,ja
M93.0,ja,ja
M93.29,ja,nein
N05.5,ja,ja
N07.6,ja,nein
N07.8,ja,ja
N15.8+,ja,ja
N25.1,ja,ja
N48.30,ja,ja
O26.60,ja,ja
P24.0,ja,ja
P27.1,ja,ja
P35.0,ja,ja
P35.1,ja,ja
P35.2,ja,ja
P37.1+,ja,ja
P57.8,ja,ja
P70.2,ja,nein
P72.8,ja,ja
P74.5,ja,ja
P91.6,ja,ja
P94.0,ja,ja
Q01.0,ja,ja
Q01.1,ja,ja
Q01.2,ja,ja
Q04.4,ja,ja
Q04.5,ja,nein
Q06.2,ja,nein
Q20.2,ja,ja
Q22.6,ja,nein
Q24.2,ja,nein
Q24.6,ja,ja
Q28.18,ja,ja
Q28.21,ja,nein
Q28.28,ja,nein
Q31.5,ja,ja
Q32.0,ja,ja
Q43.1,ja,nein
Q44.2,ja,ja
Q44.4,ja,ja
Q45.1,ja,ja
Q45.2,ja,ja
Q51.0,ja,ja
Q51.4,ja,nein
Q51.5,ja,ja
Q54.2,ja,ja
Q54.3,ja,ja
Q55.5,ja,ja
Q60.1,ja,ja
Q60.2,ja,ja
Q61.5+,ja,nein
Q68.3,ja,ja
Q68.5,ja,ja
Q70.4,ja,nein
Q71.2,ja,ja
Q73.1,ja,ja
Q77.0,ja,nein
Q77.5,ja,nein
Q80.1,ja,nein
Q81.0+,ja,ja
Q82.08,ja,nein
Q84.3,ja,nein
Q86.80,ja,ja
Q87.3,ja,nein
Q87.5,ja,nein
Q90.0,ja,ja
Q90.1,ja,ja
Q92.7,ja,nein
Q96.3,ja,nein
Q96.4,ja,ja
Q96.8,ja,ja
T30.21,ja,ja
T30.3,ja,ja
T39.1,ja,ja
T40.5,ja,ja
T46.0,ja,ja
T51.1,ja,ja
T52.3,ja,ja
T57.2,ja,ja
T63.0,ja,ja
T63.2,ja,ja
T65.0,ja,ja
T85.78+,ja,ja
T86.01,ja,ja
T86.02,ja,ja
T86.05,ja,ja
T86.06,ja,ja
T86.07,ja,ja
T86.09,ja,ja
T88.3,ja,ja
U04.9,ja,ja
